date,week,time,duration,product,person,FC,FT,F1,F2,F3-,F3p,MC,MT,M1,M2,M3-,M3p,family,network,program,Genre
2017/3/2,木,23,30,企業,2,0.7,1,1.2,1.8,2.8,3.6,0.7,2,0.4,2.3,3.2,3.5,3.8,TBS,ＮＥＷＳ２３,News
2017/3/2,木,22,30,企業,3.5,1,3.4,2.4,4.3,3.7,7.2,0.7,2.9,2.2,4.2,3.7,4.2,6.3,NTV,ダウンタウンＤＸ,Variety
2017/3/2,木,22,30,企業,4.9,0,0.5,2.4,5,9.2,7.8,0.7,1,1.6,4.8,9.3,9.6,9.2,EX,報道ステーション,News
2017/3/2,木,20,30,アクセラ,2.6,0.3,0.5,1.4,2.6,5,7.2,0,0.5,1,1.4,3.4,6.4,5.3,EX,世界の街道をゆく,Travel
2017/3/2,木,17,30,企業,0.3,0,0,0.4,0.4,0.2,1,0.7,0.5,0,0,0.3,1.3,0.8,TX,ゆうがたサテライト,News
2017/3/2,木,16,30,企業,2.9,1,2,3,4.8,5.3,4.2,1.4,1,1.4,1.9,2.7,2.6,5.7,NTV,ｎｅｗｓｅｖｅｒｙ．,News
2017/3/2,木,15,30,アクセラ,1,0.3,0,0.8,0.9,1.1,2.6,0.7,0.5,0.2,1,0.8,3.5,1.9,TBS,ゴゴスマ〜ＧＯＧＯ！Ｓｍｉｌｅ！〜,Informative
2017/3/2,木,14,30,企業,0.6,0,0.5,0.4,0.4,1.1,1.3,0.4,0,0.2,0.4,1,1.6,1.4,TX,午後のロードショー「スコーピオン・キング」,Movie
2017/3/2,木,11,30,アクセラ,1.6,0,0.5,1,1.4,2,4.2,0,1,0.4,0.7,2,7.4,3.1,EX,ワイド！スクランブル第１部,Informative
2017/3/2,木,9,30,アクセラ,1.9,0,1,0.8,1.9,3.4,4.6,0,1,0.8,1.3,2.5,5.8,4,EX,羽鳥慎一モーニングショー,Informative
